Participant,Result,Die P1,Die P2,Die P3,Roll P1,Roll P2,Roll P3,Payoff P1,Payoff P2,Payoff P3,Resp P1,Resp P2,Resp P3,Experiment,,Legend,
17,0,3,2,2,3,2,5,-5,-3,-3,4,4,4,1,,,
17,1,2,3,3,6,6,5,7,5,5,4,5,6,1,,,
17,1,2,3,2,2,6,6,7,5,7,3,4,2,1,,,
17,0,2,2,1,1,6,1,-3,-3,-1,6,6,5,1,,,
17,0,3,2,1,5,3,1,-5,-3,-1,6,6,2,1,,,
17,1,2,3,3,3,6,5,7,5,5,4,2,3,1,,,
17,0,2,1,1,3,1,1,-3,-1,-1,4,1,1,1,,,
17,1,3,3,2,4,6,5,5,5,7,4,5,4,1,,,
17,1,3,2,2,6,4,5,5,7,7,3,4,3,1,,,
17,0,1,2,2,4,3,2,-1,-3,-3,3,4,5,1,,,
17,0,3,1,3,2,1,3,-5,-1,-5,3,4,2,1,,,
17,1,1,2,2,2,6,6,9,7,7,4,5,5,1,,,
17,0,1,1,3,1,3,5,-1,-1,-5,4,5,4,1,,,
18,0,1,1,2,1,2,2,-1,-1,-3,3,3,3,1,,,
18,0,1,3,2,1,6,2,-1,-5,-3,4,3,3,1,,,
18,0,1,1,3,1,1,6,-1,-1,-5,8,8,0,1,,,
18,0,3,3,2,4,2,4,-5,-5,-3,5,4,2,1,,,
18,0,1,2,1,4,3,2,-1,-3,-1,3,6,6,1,,,
18,1,3,3,1,3,6,2,5,5,9,2,1,1,1,,,
18,1,3,1,3,4,1,6,5,9,5,2,1,2,1,,,
18,1,1,1,1,5,1,5,9,9,9,1,2,1,1,,,
18,0,2,1,3,1,3,4,-3,-1,-5,6,8,6,1,,,
18,0,1,1,2,1,4,1,-1,-1,-3,8,2,9,1,,,
18,0,1,2,1,1,4,3,-1,-3,-1,5,3,1,1,,,
18,0,3,2,1,4,4,1,-5,-3,-1,6,5,8,1,,,
18,0,1,1,2,4,2,1,-1,-1,-3,1,6,9,1,,,
18,0,3,1,1,5,2,2,-5,-1,-1,4,3,3,1,,,
18,1,1,1,2,1,4,6,9,9,7,5,5,8,1,,,
18,1,1,3,3,2,5,6,9,5,5,1,3,3,1,,,
18,0,3,2,1,5,2,1,-5,-3,-1,5,7,5,1,,,
18,0,2,1,1,3,1,2,-3,-1,-1,8,8,3,1,,,
18,1,3,3,3,1,5,5,5,5,5,1,8,8,1,,,
18,0,2,3,2,3,4,3,-3,-5,-3,7,8,7,1,,,
19,0,1,3,2,2,4,1,-1,-5,-3,0,0,5,1,,,
19,1,2,1,2,6,2,5,7,9,7,7,7,7,1,,,
19,1,2,3,1,6,4,2,7,5,9,7,7,9,1,,,
19,1,2,3,2,4,6,1,7,5,7,6,9,6,1,,,
19,1,2,2,2,5,4,3,7,7,7,10,10,10,1,,,
19,1,3,3,1,6,6,4,5,5,9,8,8,8,1,,,
19,1,1,3,3,1,4,6,9,5,5,10,7,7,1,,,
19,1,2,3,1,4,5,2,7,5,9,7,10,2,1,,,
19,0,3,3,1,3,4,1,-5,-5,-1,2,2,6,1,,,
19,0,1,1,2,3,1,5,-1,-1,-3,5,5,2,1,,,
19,0,1,2,1,5,1,3,-1,-3,-1,6,3,6,1,,,
19,0,2,1,2,3,1,5,-3,-1,-3,2,6,2,1,,,
19,1,3,2,3,6,5,4,5,7,5,7,7,7,1,,,
19,0,1,3,2,1,4,5,-1,-5,-3,8,3,5,1,,,
19,0,3,2,1,6,1,1,-5,-3,-1,1,5,8,1,,,
19,1,2,2,3,6,6,4,7,7,5,7,7,9,1,,,
19,0,1,1,1,4,1,4,-1,-1,-1,8,8,8,1,,,
19,0,1,2,1,1,1,1,-1,-3,-1,9,5,9,1,,,
19,0,3,1,2,3,2,1,-5,-1,-3,1,9,5,1,,,
19,1,1,1,3,2,3,6,9,9,5,5,5,9,1,,,
20,1,3,1,3,5,2,6,5,9,5,9,5,9,1,,,
20,1,3,1,3,5,2,5,5,9,5,9,5,9,1,,,
20,1,3,3,3,5,3,6,5,5,5,9,9,7,1,,,
20,0,1,2,3,1,3,5,-1,-3,-5,9,8,6,1,,,
20,0,3,1,3,4,3,3,-5,-1,-5,5,9,5,1,,,
